Data Type:                         ULM Mobile Sounding Data/Ascending
Project ID:                        VORTEX-SE_2017
Release Site Type/Site ID:         Hollywood, AL
Release Location (lon,lat,alt):    085 57.40'W, 34 43.01'N, -85.957, 34.717, 189.0
UTC Release Time (y,m,d,h,m,s):    2017, 04, 30, 17:54:00
Radiosonde Type:                   iMet-1-ABxn
Ground Station Software:           iMetOS-II software version 03.90.0C.
/
/
/
/
Nominal Release Time (y,m,d,h,m,s):2017, 04, 30, 17:54:00
 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   MixR   Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   g/kg    m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
 206.0  901.8  17.8  13.7  76.1   -0.3   16.0  16.0 179.0   4.8  -85.957  34.737 999.0 999.0  1032.4  1.0  1.0  1.0  1.0  1.0 99.0
 211.0  899.4  17.7  13.8  77.7   -0.3   15.9  15.9 179.0   4.6  -85.957  34.738 999.0 999.0  1055.3  1.0  1.0  1.0  1.0  1.0 99.0
 216.0  897.0  17.5  13.6  77.7   -0.3   16.5  16.5 179.0   4.4  -85.957  34.738 999.0 999.0  1077.4  1.0  1.0  1.0  1.0  1.0 99.0
 221.0  894.8  17.4  13.6  77.8    0.0   16.4  16.4 180.0   4.3  -85.957  34.739 999.0 999.0  1099.2  1.0  1.0  1.0  1.0  1.0 99.0
 226.0  892.6  17.3  13.6  78.2    0.0   16.4  16.4 180.0   4.0  -85.957  34.740 999.0 999.0  1119.3  1.0  1.0  1.0  1.0  1.0 99.0
 231.0  890.6  17.1  13.4  78.3    0.6   16.6  16.6 182.0   3.8  -85.957  34.741 999.0 999.0  1138.2  1.0  1.0  1.0  1.0  1.0 99.0
 236.0  888.7  16.9  13.2  78.9    0.6   16.6  16.6 182.0   3.7  -85.957  34.742 999.0 999.0  1156.6  2.0  2.0  2.0  1.0  1.0 99.0
 241.0  886.8  16.6  13.2  79.6    0.6   16.3  16.3 182.0   3.7  -85.957  34.742 999.0 999.0  1175.3  2.0  2.0  2.0  1.0  1.0 99.0
 246.0  884.7  16.5  13.4  81.9    0.9   16.5  16.5 183.0   3.9  -85.957  34.743 999.0 999.0  1194.7  1.0  1.0  1.0  1.0  1.0 99.0
 251.0  882.7  16.3  13.3  81.9    0.9   16.6  16.6 183.0   3.9  -85.957  34.744 999.0 999.0  1214.4  1.0  1.0  1.0  1.0  1.0 99.0
 256.0  880.6  16.2  13.5  84.0    0.6   16.5  16.5 182.0   4.0  -85.957  34.744 999.0 999.0  1234.3  1.0  1.0  1.0  1.0  1.0 99.0
 261.0  878.6  16.0  13.4  84.4    0.3   16.4  16.4 181.0   3.8  -85.957  34.745 999.0 999.0  1253.3  1.0  1.0  1.0  1.0  1.0 99.0
 266.0  876.6  15.8  13.2  84.7    0.6   16.4  16.4 182.0   3.9  -85.957  34.746 999.0 999.0  1273.0  1.0  1.0  1.0  1.0  1.0 99.0
 271.0  874.5  15.5  13.1  85.2    0.6   16.7  16.7 182.0   4.1  -85.957  34.747 999.0 999.0  1293.3  1.0  1.0  1.0  1.0  1.0 99.0
 276.0  872.3  15.4  12.9  85.0    0.3   16.7  16.7 181.0   4.3  -85.957  34.747 999.0 999.0  1314.6  1.0  1.0  1.0  1.0  1.0 99.0
 281.0  870.0  15.2  12.8  85.1    0.3   17.4  17.4 181.0   4.3  -85.957  34.748 999.0 999.0  1336.4  1.0  1.0  1.0  1.0  1.0 99.0
 286.0  867.8  15.0  12.9  87.0    0.0   17.8  17.8 180.0   4.4  -85.957  34.749 999.0 999.0  1358.5  1.0  1.0  1.0  1.0  1.0 99.0
 291.0  865.4  14.8  12.8  87.6    0.0   17.9  17.9 180.0   4.6  -85.957  34.750 999.0 999.0  1381.4  1.0  1.0  1.0  1.0  1.0 99.0
 296.0  863.1  14.7  12.5  86.8   -0.3   18.2  18.2 179.0   4.5  -85.957  34.751 999.0 999.0  1404.1  1.0  1.0  1.0  1.0  1.0 99.0
 301.0  860.7  14.4  12.4  87.8   -0.6   18.5  18.5 178.0   4.6  -85.957  34.751 999.0 999.0  1427.0  1.0  1.0  1.0  1.0  1.0 99.0
 306.0  858.4  14.2  12.4  89.0   -0.6   18.6  18.6 178.0   4.6  -85.957  34.752 999.0 999.0  1450.1  1.0  1.0  1.0  1.0  1.0 99.0
 311.0  856.0  14.0  12.3  89.5   -0.7   18.9  18.9 178.0   4.6  -85.957  34.753 999.0 999.0  1473.3  1.0  1.0  1.0  1.0  1.0 99.0
 316.0  853.7  14.0  12.2  88.7   -0.3   18.9  18.9 179.0   4.6  -85.957  34.754 999.0 999.0  1496.2  1.0  1.0  1.0  1.0  1.0 99.0
 321.0  851.4  13.8  12.0  88.9   -0.3   19.6  19.6 179.0   4.6  -85.957  34.755 999.0 999.0  1519.2  1.0  1.0  1.0  1.0  1.0 99.0
 326.0  849.1  13.5  11.7  88.5   -0.3   19.7  19.7 179.0   4.5  -85.957  34.756 999.0 999.0  1541.9  1.0  1.0  1.0  1.0  1.0 99.0
 331.0  846.7  13.4  11.7  89.4   -0.4   20.1  20.1 179.0   4.6  -85.957  34.757 999.0 999.0  1564.9  1.0  1.0  1.0  1.0  1.0 99.0
 336.0  844.3  13.2  11.6  89.8    0.0   20.4  20.4 180.0   4.8  -85.957  34.757 999.0 999.0  1588.7  1.0  1.0  1.0  1.0  1.0 99.0
 341.0  841.8  12.9  11.5  90.8    0.4   20.1  20.1 181.0   5.0  -85.957  34.758 999.0 999.0  1613.8  1.0  1.0  1.0  1.0  1.0 99.0
 346.0  839.2  12.7  11.4  91.7    0.4   20.3  20.3 181.0   5.2  -85.957  34.759 999.0 999.0  1639.6  1.0  1.0  1.0  1.0  1.0 99.0
 351.0  836.5  12.6  11.2  91.5    0.4   20.2  20.2 181.0   5.4  -85.957  34.760 999.0 999.0  1666.5  1.0  1.0  1.0  1.0  1.0 99.0
 356.0  833.8  12.3  11.1  92.3    1.1   20.3  20.3 183.0   5.5  -85.957  34.761 999.0 999.0  1694.1  1.0  1.0  1.0  1.0  1.0 99.0
 361.0  830.9  12.1  10.9  92.4    1.1   20.1  20.1 183.0   5.7  -85.957  34.762 999.0 999.0  1722.6  1.0  1.0  1.0  1.0  1.0 99.0
 366.0  828.0  11.9  10.9  93.4    1.8   20.1  20.2 185.0   5.9  -85.957  34.763 999.0 999.0  1751.9  1.0  1.0  1.0  1.0  1.0 99.0
 371.0  825.0  11.5  10.7  94.7    2.1   19.8  19.9 186.0   6.0  -85.957  34.764 999.0 999.0  1782.0  1.0  1.0  1.0  1.0  1.0 99.0
 376.0  822.1  11.4  10.7  95.5    2.5   20.0  20.2 187.0   5.9  -85.957  34.765 999.0 999.0  1811.5  1.0  1.0  1.0  1.0  1.0 99.0
 381.0  819.2  11.3  10.8  96.6    3.2   20.1  20.3 189.0   5.8  -85.957  34.766 999.0 999.0  1840.5  1.0  1.0  1.0  1.0  1.0 99.0
 386.0  816.4  11.3  11.0  97.6    3.3   20.6  20.9 189.0   5.7  -85.956  34.767 999.0 999.0  1869.1  1.0  1.0  1.0  1.0  1.0 99.0
 391.0  813.7  11.2  10.8  97.4    4.0   20.7  21.1 191.0   5.6  -85.956  34.767 999.0 999.0  1897.1  1.0  1.0  1.0  1.0  1.0 99.0
 396.0  811.0  11.1  10.7  97.2    4.5   21.0  21.5 192.0   5.5  -85.956  34.768 999.0 999.0  1924.6  1.0  1.0  1.0  1.0  1.0 99.0
 401.0  808.4  11.0  10.6  97.1    5.0   21.6  22.2 193.0   5.3  -85.956  34.769 999.0 999.0  1951.3  3.0  3.0  3.0  1.0  1.0 99.0
 406.0  805.9   9.8   8.0  88.1    5.5   21.9  22.6 194.0   5.2  -85.956  34.770 999.0 999.0  1977.4  3.0  3.0  3.0  1.0  1.0 99.0
 411.0  803.5   8.9   4.7  74.9    5.7   22.7  23.4 194.0   5.0  -85.955  34.771 999.0 999.0  2002.4  3.0  3.0  3.0  1.0  1.0 99.0
 416.0  801.1   8.8   3.9  71.1    6.2   23.0  23.8 195.0   4.9  -85.955  34.772 999.0 999.0  2026.7  1.0  1.0  1.0  1.0  1.0 99.0
 421.0  798.8   8.7   3.1  67.7    6.8   23.6  24.6 196.0   4.8  -85.954  34.773 999.0 999.0  2050.5  1.0  1.0  1.0  1.0  1.0 99.0
 426.0  796.5   8.9   3.0  66.4    6.5   24.3  25.2 195.0   4.7  -85.954  34.774 999.0 999.0  2073.9  1.0  1.0  1.0  1.0  1.0 99.0
 431.0  794.3   8.8   1.8  61.2    7.2   25.1  26.1 196.0   4.5  -85.954  34.776 999.0 999.0  2096.6  1.0  1.0  1.0  1.0  1.0 99.0
 436.0  792.1   9.0   1.1  57.7    7.2   25.1  26.1 196.0   4.6  -85.953  34.777 999.0 999.0  2119.6  1.0  1.0  1.0  1.0  1.0 99.0
 441.0  789.9   9.0   0.1  53.5    7.2   25.1  26.1 196.0   4.7  -85.953  34.778 999.0 999.0  2142.9  1.0  1.0  1.0  1.0  1.0 99.0
 446.0  787.7   9.4   0.2  52.2    7.2   25.0  26.0 196.0   4.7  -85.952  34.779 999.0 999.0  2166.2  1.0  1.0  1.0  1.0  1.0 99.0
